id,district_id,name,bn_name,lat,lon,url
282,36,Zakiganj,জকিগঞ্জ,24.8765092,92.3695829,zakiganj.sylhet.gov.bd
283,36,Dakshinsurma,দক্ষিণ সুরমা,0.0,0.0,dakshinsurma.sylhet.gov.bd
284,36,Osmaninagar,ওসমানী নগর,24.714181,91.74486169534589,osmaninagar.sylhet.gov.bd
285,37,Barlekha,বড়লেখা,24.7041949,92.1929218,barlekha.moulvibazar.gov.bd
286,37,Kamolganj,কমলগঞ্জ,0.0,0.0,kamolganj.moulvibazar.gov.bd
287,37,Kulaura,কুলাউড়া,24.5226336,92.0340732,kulaura.moulvibazar.gov.bd
288,37,Moulvibazar Sadar,মৌলভীবাজার সদর,0.0,0.0,moulvibazarsadar.moulvibazar.gov.bd
289,37,Rajnagar,রাজনগর,26.3859638,86.15420075198816,rajnagar.moulvibazar.gov.bd
290,37,Sreemangal,শ্রীমঙ্গল,24.3105781,91.725133,sreemangal.moulvibazar.gov.bd
291,37,Juri,জুড়ী,59.3557594,24.91002254373233,juri.moulvibazar.gov.bd
292,38,Nabiganj,নবীগঞ্জ,27.191955,79.3864521,nabiganj.habiganj.gov.bd
293,38,Bahubal,বাহুবল,24.3491292,91.5397053,bahubal.habiganj.gov.bd
294,38,Ajmiriganj,আজমিরীগঞ্জ,24.5579044,91.2361655,ajmiriganj.habiganj.gov.bd
295,38,Baniachong,বানিয়াচং,24.525917,91.3626738,baniachong.habiganj.gov.bd
296,38,Lakhai,লাখাই,24.2847975,91.2506877,lakhai.habiganj.gov.bd
297,38,Chunarughat,চুনারুঘাট,0.0,0.0,chunarughat.habiganj.gov.bd
298,38,Habiganj Sadar,হবিগঞ্জ সদর,24.3883107,91.412571,habiganjsadar.habiganj.gov.bd
299,38,Madhabpur,মাধবপুর,22.1203896,88.3490306,madhabpur.habiganj.gov.bd
300,39,Sunamganj Sadar,সুনামগঞ্জ সদর,24.8783265,90.7310074,sadar.sunamganj.gov.bd
301,39,South Sunamganj,দক্ষিণ সুনামগঞ্জ,25.1426187,91.5808008,southsunamganj.sunamganj.gov.bd
302,39,Bishwambarpur,বিশ্বম্ভরপুর,0.0,0.0,bishwambarpur.sunamganj.gov.bd
303,39,Chhatak,ছাতক,25.033745,91.6618288,chhatak.sunamganj.gov.bd
304,39,Jagannathpur,জগন্নাথপুর,22.16952195,85.64390804883907,jagannathpur.sunamganj.gov.bd
305,39,Dowarabazar,দোয়ারাবাজার,25.0399047,91.5718305,dowarabazar.sunamganj.gov.bd
306,39,Tahirpur,তাহিরপুর,25.6044566,87.8405857,tahirpur.sunamganj.gov.bd
